A,9.788200378,10.01195908,W,9893.960378,9904.52037799999,,2.10338091,2.07667165,
A,102.2621002,102.5309525,Uncategorized,102374.5802,102412.0202,,1.97887207,1.92433474,
A,112.2519989,112.481163,T,,,,,,
A,169.776001,170.0064545,N,,,,,,
A,195.4855042,195.7544556,C,195591.2642,195645.0242,,2.23199339,2.07589064,
A,207.4492035,207.7190552,Uncategorized,207568.4035,207606.8035,,2.06032048,1.74867587,
A,230.2704926,230.5670624,Uncategorized,230389.6926,230442.4926,,2.15929239,1.94295698,
A,339.6575012,339.9139709,N,339767.1012,339791.1012,339800.7012,2.26428003,1.62503332,1.52411132
A,446.980011,447.2314453,C,447089.611,447118.411,,1.93245899,2.27130409,
A,536.6121216,536.8684082,C,536720.7616,536744.7616,536759.161600001,1.97266518,1.77215445,2.03030337
A,571.0859985,571.3121948,V,,,,,,
A,619.6875,619.9871216,L,,,,,,
A,640.9785156,641.2761841,C,,,,,,
A,646.4744873,646.7834473,C,,,,,,
A,678.4232178,678.7104492,C,,,,,,
A,702.1094971,702.3964844,C,,,,,,
A,759.4472046,759.6749878,U,,,,,,
A,769.4439697,769.6665039,T,,,,,,
A,800.0504761,800.2904663,T,,,,,,
A,849.9274902,850.1604614,T,,,,,,
A,879.8112183,880.0511475,W,,,,,,
A,945.3140259,945.7054443,Uncategorized,,,,,,
A,1002.371521,1002.695984,C,,,,,,
A,1011.486511,1011.796997,Uncategorized,,,,,,
A,1156.792236,1157.124512,Uncategorized,,,,,,
A,1192.834473,1193.089966,C,,,,,,
A,1196.212036,1196.446045,N,,,,,,
A,1323.338989,1323.695068,Uncategorized,,,,,,
A,1439.823486,1440.363037,Uncategorized,,,,,,
A,1527.321533,1527.604858,T,,,,,,
A,1537.373047,1537.717529,N,,,,,,
A,1550.38855,1550.695435,N,,,,,,
A,1563.456055,1563.81311,J,,,,,,
A,1563.745972,1564.026123,U,,,,,,
A,1577.359497,1577.604492,N,,,,,,
A,1721.156128,1721.503418,W,,,,,,
A,1767.765137,1768.1875,W,,,,,,
A,1850.093994,1850.354004,T,,,,,,
A,1864.751953,1864.986206,W,,,,,,
A,1884.959961,1885.184448,J,,,,,,
A,1899.765991,1900.428467,Uncategorized,,,,,,
A,1905.196045,1905.549072,Uncategorized,,,,,,
A,1990.55896,1991.001465,L,,,,,,
A,1991.849243,1992.228394,V,,,,,,
A,2054.742432,2055.004883,C,,,,,,
A,2086.95459,2087.340332,U,,,,,,
A,2138.695557,2139.312988,Uncategorized,,,,,,
A,2147.826172,2148.073975,C,,,,,,
A,2172.050049,2172.303223,V,,,,,,
A,2172.905273,2173.342041,C,,,,,,
A,2261.547119,2261.859863,N,,,,,,
A,2295.283203,2295.544189,C,,,,,,
A,2414.551025,2414.820557,U,,,,,,
A,2457.145996,2457.386963,N,,,,,,
A,2474.411621,2474.716064,C,,,,,,
A,2488.308105,2488.62915,N,,,,,,
